,species_pair,year,spearmans,lid_count,p_value
63,ACANTHIS FLAMMEA-GEOTHLYPIS TRICHAS,2017,-0.8944271909999159,4,0.10557280900008413
64,ACANTHIS FLAMMEA-GEOTHLYPIS TRICHAS,2016,0.0,5,1.0
65,ACANTHIS FLAMMEA-GEOTHLYPIS TRICHAS,2019,-0.5000000000000001,3,0.6666666666666667
66,ACANTHIS FLAMMEA-JUNCO HYEMALIS,2018,0.0,6,1.0
67,ACANTHIS FLAMMEA-JUNCO HYEMALIS,2022,1.0,3,0.0
68,ACANTHIS FLAMMEA-JUNCO HYEMALIS,2017,0.14090046549415863,6,0.7900479460853584
69,ACANTHIS FLAMMEA-JUNCO HYEMALIS,2016,-0.5554920598635309,8,0.15287914333717534
70,ACANTHIS FLAMMEA-JUNCO HYEMALIS,2019,-0.4442616583193193,5,0.4535493471690853
71,ACANTHIS FLAMMEA-LEIOTHLYPIS CELATA,2019,-0.5000000000000001,3,0.6666666666666667
72,ACANTHIS FLAMMEA-LEIOTHLYPIS PEREGRINA,2018,0.39279220242478635,6,0.4411128091213043
73,ACANTHIS FLAMMEA-LEIOTHLYPIS PEREGRINA,2022,-0.316227766016838,4,0.683772233983162
74,ACANTHIS FLAMMEA-LEIOTHLYPIS PEREGRINA,2017,-0.4803844614152614,7,0.27521973197398397
75,ACANTHIS FLAMMEA-LEIOTHLYPIS PEREGRINA,2016,0.13098420799889599,9,0.7369468658434499
76,ACANTHIS FLAMMEA-LEIOTHLYPIS PEREGRINA,2023,0.0,3,1.0
77,ACANTHIS FLAMMEA-LEIOTHLYPIS PEREGRINA,2019,-0.21846572437632575,7,0.6379078605904234
78,ACANTHIS FLAMMEA-LEIOTHLYPIS PEREGRINA,2020,-0.7071067811865475,5,0.18169011381620925
79,ACANTHIS FLAMMEA-LEUCOPHAEUS PIPIXCAN,2016,0.0,3,1.0
80,ACANTHIS FLAMMEA-LOXIA LEUCOPTERA,2020,,3,
81,ACANTHIS FLAMMEA-MELOSPIZA GEORGIANA,2018,-0.5441071875825088,5,0.34311082143876753
82,ACANTHIS FLAMMEA-MELOSPIZA GEORGIANA,2017,-0.12272892320802116,7,0.7932144898492398
83,ACANTHIS FLAMMEA-MELOSPIZA GEORGIANA,2016,0.8333333333333335,4,0.16666666666666646
84,ACANTHIS FLAMMEA-MELOSPIZA GEORGIANA,2019,,4,
85,ACANTHIS FLAMMEA-MELOSPIZA LINCOLNII,2018,,4,
86,ACANTHIS FLAMMEA-MELOSPIZA LINCOLNII,2022,-0.05555555555555556,4,0.9444444444444444
87,ACANTHIS FLAMMEA-MELOSPIZA LINCOLNII,2017,-0.07715167498104596,7,0.8694127120955288
88,ACANTHIS FLAMMEA-MELOSPIZA LINCOLNII,2016,0.14301938838683884,6,0.7869336157100617
89,ACANTHIS FLAMMEA-MELOSPIZA LINCOLNII,2019,-0.840168050416806,6,0.03627782452189907
90,ACANTHIS FLAMMEA-MNIOTILTA VARIA,2018,0.5000000000000001,3,0.6666666666666667
91,ACANTHIS FLAMMEA-MNIOTILTA VARIA,2022,0.8660254037844387,3,0.3333333333333332
92,ACANTHIS FLAMMEA-MNIOTILTA VARIA,2017,-0.5000000000000001,4,0.4999999999999999
93,ACANTHIS FLAMMEA-MNIOTILTA VARIA,2016,0.3333333333333333,4,0.6666666666666667
94,ACANTHIS FLAMMEA-MNIOTILTA VARIA,2019,0.0,3,1.0
95,ACANTHIS FLAMMEA-OPORORNIS AGILIS,2017,,3,
96,ACANTHIS FLAMMEA-PERISOREUS CANADENSIS,2022,1.0,3,0.0
97,ACANTHIS FLAMMEA-PERISOREUS CANADENSIS,2016,-0.5405624776173353,10,0.10668438413604835
98,ACANTHIS FLAMMEA-PERISOREUS CANADENSIS,2017,-0.5443310539518174,4,0.45566894604818264
99,ACANTHIS FLAMMEA-PERISOREUS CANADENSIS,2019,-0.10660035817780521,6,0.8407051465865751
100,ACANTHIS FLAMMEA-PERISOREUS CANADENSIS,2018,,3,
101,ACANTHIS FLAMMEA-PERISOREUS CANADENSIS,2020,,3,
